RewardSize,AnimalResponse,ToneCloudDurSec,LickwrtTrialStart,ITIinseconds
1,0,0.26,2.34239907,2.5517
1,1,0.2,NaN,3.2395
1,1,1.58,NaN,2.3118
1,1,5.34,NaN,2.6118
1,1,8.88,NaN,3.0356
1,3,14,NaN,2.6138
1,0,0.04,1.01949804,2.3339
1,2,0.064983754,0.04636203,2.7139
1,1,2.7,NaN,3.3997
1,1,1.76,NaN,14.6166
1,1,1.24,NaN,2.4759
1,1,4.42,NaN,2.7158
1,1,5.5,NaN,3.1756
1,3,14,NaN,3.4316
1,1,3.34,NaN,3.0356
1,3,14,NaN,2.6678
1,0,0.24,1.80505281,3.2579
1,2,4.200949763,4.18814781,2.1318
1,1,3.42,NaN,2.2297
1,1,10,NaN,14.2365
2,3,14,NaN,2.914
2,1,3.06,NaN,2.9936
2,1,1.2,NaN,2.7355
2,1,0.38,NaN,2.6738
2,1,2.98,NaN,2.8357
2,1,6.16,NaN,2.3579
2,3,14,NaN,2.8916
2,1,4.7,NaN,3.2156
2,3,14,NaN,2.8919
2,0,4.62,5.61780483,2.9755
2,0,0.22,0.73372662,2.852
2,2,0.522869283,0.50504949,3.2757
2,2,0.493876531,0.4802853,3.2576
2,0,0.14,0.51244875,14.2747
2,2,0.373906523,0.35573109,14.6543
2,2,1.848537866,1.83784953,3.7578
2,0,3.54,3.64980165,14.4346
2,2,1.823544114,1.81131885,14.6765
2,2,2.885278681,2.87167947,2.6077
2,0,2.52,3.50448285,14.6564
2,2,0.093976506,0.08215845,14.7166
2,0,0.6,1.08829116,2.8137
2,2,0.660834791,0.64940172,14.3146
2,2,0.507873032,0.49181748,2.4297
2,0,9.8,10.17144942,14.6784
2,2,0.068982754,0.05326134,14.3927
2,0,0.04,0.40015998,2.8157
2,0,1.04,1.35556443,14.7767
2,0,0.22,0.55504449,2.3499
2,0,0.52,0.78735459,2.9135
2,2,0.48087978,0.46522014,4.3316
2,2,5.976505875,5.9580708,3.0957
2,2,0.412896776,0.39539379,14.6427
2,0,0.12,0.3859614,14.3367
2,2,1.362659335,1.35229809,14.2946
2,0,1.04,1.29803685,4.4275
2,2,0.145963509,0.13078692,14.3565
2,2,3.98700325,3.97243605,2.4558
2,0,0.64,1.81798485,14.5744
2,2,0.564858785,0.55277805,14.6588
2,2,0.306923269,0.28950438,3.0495
2,0,4.86,5.26487346,14.2404
2,0,0.04,0.36766323,14.2924
2,0,0.06,0.13375329,2.4297
2,2,0.045988503,0.03109689,2.5137
2,3,14,NaN,2.8877
2,2,1.083729068,1.06999299,14.1787
2,2,0.469882529,0.4559544,2.8538
2,2,1.423644089,1.40205978,14.5364
2,0,1.7,3.04279569,14.4585
2,2,0.558860285,0.54364563,14.3367
2,0,5.6,8.23294329,3.1158
2,2,0.590852287,0.57780888,14.6365
2,0,0.94,1.37409591,3.456
2,2,0.657835541,0.64220244,14.3506
2,2,1.455636091,1.44038928,2.3896
2,2,9.789552614,9.77725551,14.399
2,0,1.76,2.32123452,14.3945
