RewardSize,AnimalResponse,ToneCloudDurSec,Pupil,runSpeed,LickwrtTrialStart
2,0,0.22,0.234532131186706,0,0.55504449
2,0,0.52,0.266331043118985,0.000228145710236021,0.78735459
2,2,0.480879780152954,0.268565667368155,0.000228145710236021,0.46522014
2,2,5.97650587474919,0.233881632535267,0,5.9580708
2,2,0.412896775890167,0.28542624964365,0,0.39539379
2,0,0.12,0.308164578710053,0,0.3859614
2,2,1.36265933544382,0.406127991512479,0.000245695380254177,1.35229809
2,0,1.04,0.228226205117191,0,1.29803685
2,2,0.145963509152456,0.236933407092171,0,0.13078692
2,2,3.98700324999996,0.219612701591517,0,3.97243605
2,0,0.64,0.307445212410011,0,1.81798485
2,2,0.564858785418751,0.342479348849717,-0.000228145710236021,0.55277805
2,2,0.306923269245233,0.406311367347096,0.000245695380254177,0.28950438
2,0,4.86,0.540611262559436,0,5.26487346
2,0,0.04,0.386800650888684,0,0.36766323
2,0,0.06,0.327218338164262,-0.000228145710236021,0.13375329
2,2,0.0459885028836505,0.351367839629493,0,0.03109689
2,3,14,0.239284595715821,0,NaN
2,2,1.08372906795385,0.177647052680696,0,1.06999299
2,2,0.469882529463386,0.249247608112815,0,0.4559544
2,2,1.42364408926779,0.188695155138845,0,1.40205978
2,0,1.7,0.180023341324586,0.000228145710236021,3.04279569
2,2,0.558860285042623,0.263839118050606,0,0.54364563
2,0,5.6,0.181025430541314,0,8.23294329
2,2,0.59085228704864,0.308258534634884,0,0.57780888
2,0,0.94,0.249258029449947,0.000245695380254177,1.37409591
2,2,0.65783554124874,0.238214065564012,0,0.64220244
2,2,1.45563609127381,0.19484163980954,0,1.44038928
2,2,9.78955261384143,0.252260728457553,0,9.77725550999999
2,0,1.76,0.740154818587617,0,2.32123452
2,2,0.594851287299393,0.395765288241272,0,0.57977535
2,2,0.504873781657468,0.269779450853601,0,0.48705129
1,0,6.04,0.269449812630784,0.000245695380254177,6.78048855
1,1,5.7,0.237042762035391,0,NaN
1,0,3.54,0.208278296351112,0,5.60773917
1,0,1.54,0.279995717833466,0,1.91677497
1,0,0.22,0.262864715847615,0.000245695380254177,1.10382294
1,0,4.72,0.195802188304128,0.000245695380254177,6.71396187
1,0,9.58,0.280863924966971,0.000245695380254177,12.10425612
1,3,14,0.253844419220093,0.000245695380254177,NaN
1,1,1.76,0.185854038852722,0,NaN
1,1,8.52,0.31079715596551,0,NaN
1,1,0.26,0.220473776879035,0,NaN
1,1,5.04,0.254564578468665,0.000245695380254177,NaN
1,1,1.26,0.17684176248123,0.000228145710236021,NaN
1,3,14,0.125502008186162,0,NaN
1,1,3.04,0.929277118215557,0.0928728537359299,NaN
1,1,3.48,0.632837934849389,0.000245695380254177,NaN
1,1,1.12,0.401305711638345,0,NaN
1,1,3.4,0.336626016969744,-0.000228145710236021,NaN
1,1,6.08,0.248422677937424,0,NaN
1,3,14,0.35169620249146,-0.000245695380254177,NaN
1,1,4.5,0.28686467859553,0,NaN
1,1,2.48,0.247500317422868,0,NaN
1,1,1.86,0.252686298804274,0.000245695380254177,NaN
1,3,14,0.269854621882978,0,NaN
1,1,9.24,0.25277892586049,-0.000228145710236021,NaN
1,1,3.38,0.23542544826027,-0.000228145710236021,NaN
1,1,8.36,0.252998380929174,0,NaN
1,1,10.32,0.312748593028762,0,NaN
1,1,0.52,0.344004747339305,0,NaN
1,1,2.42,0.226966098078599,0,NaN
1,1,6.14,0.706072498371637,0.0659341102581065,NaN
1,3,14,0.574704839195152,0,NaN
1,1,2.84,0.646252026119583,0,NaN
1,0,1.18,0.960441751366949,0.069040401851312,1.63843614
1,0,4,0.53160548515337,0.000245695380241763,4.51811481
1,3,14,0.419899295348025,0.000245695380254177,NaN
1,1,1.22,0.344632739117463,0.000228145710236021,NaN
1,1,5.48,0.384377054615012,0,NaN
1,1,2.32,0.310099153124997,0,NaN
1,1,0.78,0.294593919484297,0,NaN
1,3,14,0.282680360700861,0,NaN
1,1,7.24,0.297896507868138,0,NaN
1,1,7.7,0.39526392429872,0,NaN
1,1,0.72,0.300791857177096,0,NaN
1,1,2.06,0.370569687956875,0,NaN
1,1,0.46,0.248624929528864,0.000228145710236021,NaN
1,1,1.44,0.24673709695959,0,NaN
1,1,5.26,0.29399312351596,0,NaN
1,1,5.7,0.210750367318174,0,NaN
1,1,0.7,0.187914646999527,0.000245695380254177,NaN
1,1,0.28,0.249157577782917,-0.000228145710236021,NaN
1,1,7.36,0.362337554264512,0.000245695380254177,NaN
1,1,8.96,0.273253537712208,0,NaN
1,1,2.58,0.30023511342329,0,NaN
1,1,1.34,0.239037841520806,0,NaN
1,2,4.51587103316194,0.366725697346256,0,4.50514944
1,0,0.32,0.328651405862114,0,0.4576209
1,2,0.881779555290864,0.341568723470044,0,0.868779779999999
1,1,3.72,0.307501223012873,0.000245695380254177,NaN
1,1,3.3,0.348243696535712,0,NaN
2,1,3.82,0.480854590021484,0,NaN
2,1,4.28,0.237111612366291,0,NaN
2,3,14,0.355786164161838,0,NaN
2,1,3.08,0.561327415676087,0,NaN
2,1,1.66,0.581992754537423,0.000491390760508354,NaN
2,1,4,0.436600119257346,0,NaN
2,1,0.78,0.372358746445123,-0.000491390760508354,NaN
2,1,3.04,0.271239608840871,0,NaN
2,1,6.02,0.297595770818031,-0.000245695380254177,NaN
2,1,0.76,0.201151329138987,0,NaN
2,1,0.96,0.273690024928215,0,NaN
2,3,14,0.294576945863306,0,NaN
2,1,1.74,0.370581472267503,0,NaN
2,1,7.02,0.732964172076412,0.00547549704565298,NaN
2,1,9.96,0.884033535815676,-0.000245695380254177,NaN
2,1,7.16,1.17563411090478,0.000245695380241763,NaN
2,1,5.72,0.675767043312739,-0.000228145710236021,NaN
2,1,6.5,0.519542835180382,0,NaN
2,1,0.18,0.697207481991392,-0.000245695380254177,NaN
2,1,7.96,0.427647453657343,0,NaN
2,1,1.54,0.404600537199451,0,NaN
2,1,2.64,0.482106811851954,0,NaN
2,1,10,0.424136363919738,0,NaN
2,1,6.66,0.4353840004111,0,NaN
2,1,4.7,0.467804847289006,0.000245695380254177,NaN
2,1,0.8,0.51164606872414,0.000228145710236021,NaN
2,1,8.54,0.372411939657129,0,NaN
2,1,0.56,0.514593222279402,0,NaN
2,1,2.4,0.472323342819151,0,NaN
2,2,0.00999750062688055,0.489155452190925,0,3.333e-05
2,3,14,0.415932894683474,0.000228145710236021,NaN
2,1,1.9,0.36690252674118,0,NaN
2,3,14,0.369358197463145,0,NaN
2,1,1.14,0.432498511132439,0,NaN
2,1,0.84,0.360424089685023,0,NaN
2,1,2.34,0.348313686922925,0,NaN
2,1,0.06,0.440916190226005,0,NaN
2,1,1.82,0.33664366665668,0,NaN
2,1,0.76,0.330874470526287,0,NaN
2,1,3.04,0.472728014331883,0,NaN
2,0,1.74,0.466632607532956,-0.000245695380254177,4.35059823
2,2,0.627843039368098,0.695373492181596,0.000228145710236021,0.61553844
2,0,0.1,0.358950553792583,0,0.71116221
2,2,1.55761059766799,0.414133192717506,0.000228145710236021,1.54281237
2,0,0.04,0.356541616155654,0,0.42075792
2,2,0.449887528209625,0.4123501958418,0,0.43555644
2,2,0.402899275263286,0.359964723188009,0,0.38712795
2,0,6.66,0.317902256448377,0,7.7252274
2,2,1.60059985036358,0.291645184418004,0,1.58644134
2,2,3.05723569170007,0.243776206116006,0,3.04299567
