RewardSize,AnimalResponse,ToneCloudDurSec,Pupil_1,Pupil_2,Pupil_3,Pupil_4,Pupil_5,Pupil_6,Pupil_7,Pupil_8,Pupil_9,Pupil_10,Pupil_11,Pupil_12,Pupil_13,Pupil_14,Pupil_15,Pupil_16,runSpeed_1,runSpeed_2,runSpeed_3,runSpeed_4,runSpeed_5,runSpeed_6,runSpeed_7,runSpeed_8,runSpeed_9,runSpeed_10,runSpeed_11,runSpeed_12,runSpeed_13,runSpeed_14,runSpeed_15,runSpeed_16,LickwrtTrialStart,ITIinseconds
1,0,2.66,0.216275041065069,0.215869634764309,0.215189252964531,0.214464951833833,0.213839058582456,0.213331453739171,0.212953145590886,0.212767983316013,0.212811800737649,0.21301454513054,0.213273543827604,0.21356587933057,0.213900892771865,0.214159576589343,0.214090379360706,0.21357618638024,0,0,0,-0.0031940399433043,0,0,0,0,0.0031940399433043,0,0,0,0,0,0,0,3.91910805,2.77771999999999
1,0,0.42,0.293546233880729,0.29366024168222,0.29392533881611,0.294156132018214,0.294336122315801,0.294538019440301,0.294849929980825,0.29528522274019,0.29568882779196,0.295796638757996,0.295487307281663,0.294957753787483,0.294565329060774,0.29449819240343,0.294664194518951,0.294885779350277,0,0,0,0,0,0,-0.0031940399433043,0,0,0,0.0031940399433043,0,0,0,0,0,0.72762723,2.63974999999999
1,0,1.86,0.253147288091869,0.251942255224854,0.250816938857004,0.249771808912056,0.248801196636229,0.247940703775798,0.247279809153591,0.246882061429012,0.246678825862853,0.246471660262649,0.246061162432998,0.245383951246938,0.244522474719089,0.24358782717958,0.24264246439731,0.241757428920155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29337064,5.05551000000003
1,2,0.145963509152456,0.261179732946045,0.261275039845634,0.260794573901175,0.25998846454577,0.259173620497684,0.258488564618236,0.257901835400537,0.257367580774136,0.256898416609091,0.256493543636032,0.256048363522295,0.255394209456549,0.254463302104478,0.253383098858955,0.252360244954359,0.251517015607537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13295337,2.23374999999999
1,2,6.26543364286604,0.186400791171477,0.186611431130711,0.186712270235767,0.18674296279487,0.186647341550044,0.18638077316927,0.186055490812336,0.185888943737893,0.186011243583854,0.186403363279454,0.187016772572447,0.187839834135694,0.188807903315351,0.189734083195032,0.190404324705104,0.190717550377011,0,0,0,0.0031940399433043,0,0,0,0,0,0,0,0,0,0,0,0,6.25197474,14.33657
1,0,8.54,0.202795032103536,0.202733362363289,0.202733955941045,0.202692057346228,0.202397821223487,0.201719202255406,0.200755014037335,0.199801909105206,0.199150566257882,0.198872899736213,0.198796041577953,0.198696609969028,0.198446062926248,0.197883092810656,0.196676954755925,0.194561639476301,0,0,0,0,-0.0031940399433043,0,0.0031940399433043,0,0,0,0,0,0,0,0,0,9.63640292999999,14.15658
1,2,0.386903274260277,0.338924820768799,0.337988732776319,0.336758144911542,0.335138719580986,0.333166195045865,0.330792202770217,0.328031803458579,0.325307717687747,0.323344379168309,0.322530156316486,0.322561972298869,0.322858365316259,0.323124218654999,0.323392002053781,0.323746928473618,0.324204085481101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37106289,2.95371
1,0,0.72,0.228254262339461,0.226456286440881,0.224758282452629,0.223508104324398,0.222910684806093,0.222808624113729,0.222857179995223,0.222837398246105,0.22275783433476,0.222786968624517,0.223134210916017,0.223858637111696,0.224723865753897,0.225333857535966,0.225470655903506,0.225246546049869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29727026,14.67653
1,2,1.00174956281343,0.510288411341837,0.510987351760133,0.511717601780589,0.513112691068451,0.516307269422029,0.521766191587484,0.528158834462929,0.533059716342832,0.535048171692958,0.534802015315399,0.534150653500238,0.53449750637051,0.536030149284517,0.537798357182289,0.538458156250907,0.537507372741169,0.0862390784690548,0.0958211982989677,0.111791398015489,0.118179477902098,0.121373517845402,0.118179477902098,0.111791398015328,0.0958211982989677,0.0862390784692162,0.0702688787525333,0.0702688787525333,0.0702688787526947,0.0862390784690548,0.0926271583556634,0.105403318128881,0.111791398015489,0.987634559999999,2.54974999999996
1,1,0.54,0.394609019514802,0.395351570306219,0.396517800177271,0.397498955213371,0.398007405128734,0.398501705209265,0.399817099251634,0.402319988233312,0.405608425504109,0.409160513842152,0.412965262398209,0.417105242944245,0.420809305452723,0.422543633121944,0.421463612850874,0.418421566642246,0,0.0031940399433043,0,-0.0031940399433043,0,0,0,0,0,0,0,0,0,0,0.0031940399433043,0,NaN,14.7425
1,1,1.48,0.401948527095082,0.402858080924768,0.403491399585814,0.403902912119842,0.404145999353252,0.404214942898578,0.403964786949707,0.403182638068738,0.401924208541359,0.400838856053098,0.400925507654061,0.402562603787787,0.404722297729808,0.405579993251771,0.40420755841495,0.401467871454632,0,0,0,0,0,-0.0031940399433043,0,0,0.0031940399433043,0,0,0,0,0,0,0,NaN,2.82970999999998
1,3,14,0.341141695494995,0.338897282998528,0.336825773767817,0.334909667147442,0.333215992201019,0.331839128947373,0.330895460093987,0.330562424519378,0.330894726481831,0.331543146802469,0.331866758815369,0.331445182316329,0.330436399839595,0.329447479359042,0.329087811036412,0.32955061391394,0,0,0,0,0,0,-0.0031940399433043,0,0,0,0,0.0031940399433043,0,0,0,0,NaN,2.57171999999997
1,1,0.08,0.25764895062682,0.257316000348948,0.257264923447173,0.257621319835863,0.258211285067748,0.258697137502437,0.258875990730668,0.258815940981447,0.258743668931008,0.258852456380929,0.25918597648325,0.259644622211161,0.260088743558315,0.260445443855292,0.260733768666679,0.261022764420955,0,0,0,-0.0031940399433043,0,0.0031940399433043,0,0,0,0,0,0,0,0,0,0,NaN,2.63571000000002
1,1,3.78,0.228456924360201,0.226980152531915,0.226211181643662,0.226393735123448,0.22703715896231,0.227258890268361,0.226602269454443,0.225457786491636,0.224645935057155,0.22465010723668,0.225269798460795,0.225887519693779,0.225964774938448,0.225351988802043,0.224232901208641,0.222837413279865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,3.41365000000002
1,3,14,0.237531606362601,0.236502154652829,0.235724606316435,0.235135176830088,0.234680549789875,0.234334034723247,0.233975738989427,0.233367311685999,0.232338861175737,0.230988911405978,0.22966222082359,0.228714446651411,0.228276216776771,0.228243157128126,0.2284659999098,0.228855145549379,0,0,-0.0031940399433043,0,0,0,0.0031940399433043,0,0,0,0,0,0,0,0,0,NaN,2.79572000000002
1,1,4.1,0.206240292442426,0.205516598069086,0.204712084547807,0.203946062178943,0.203278256537707,0.202684602591564,0.202126995738006,0.201610329522226,0.201168543884524,0.20083633052885,0.200641372164486,0.200591559990314,0.200676891105561,0.200903356607567,0.201289084621791,0.201793948851455,0,0,0,0,0,0,0,0.0031940399433043,0,0,-0.0031940399433043,0,0,0,0,0,NaN,2.83773000000002
1,1,9.56,0.324182812323982,0.321915483983431,0.319373848406186,0.316754111217114,0.314507046006353,0.31290857419779,0.311781753995034,0.310683661873934,0.309289446795689,0.307621297290061,0.306060939509241,0.305121367088029,0.304974488582406,0.305128186652936,0.304752213090314,0.303413859496091,0.00319403994314292,0,0.0031940399433043,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,2.77170000000001
1,1,0.44,0.199363582445023,0.19924323981566,0.199153773808333,0.198751523896259,0.197950607876891,0.196993548897579,0.196255559002404,0.195919836224059,0.195844020549687,0.195741631290283,0.195446660630822,0.194998892359296,0.194550300493438,0.194234929642027,0.194074714994627,0.193949838252195,0,0,0,0,0,0,0,0,0,0,0,0,-0.0031940399433043,0,0,0,NaN,2.33579999999995
1,1,3.04,0.225754283079613,0.225660407828036,0.22620642242036,0.226892066981039,0.227410108450228,0.227732014496445,0.227874828999662,0.227752363827609,0.227277985743098,0.226494884971613,0.225529627479992,0.224483239345409,0.223401718916792,0.222278275789194,0.221063207675736,0.219740695447747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,3.10965999999996
1,1,4.4,0.16226170898208,0.165196403594395,0.167931880851284,0.170055740058092,0.171675676323331,0.173350175694436,0.175701497637107,0.178929988151099,0.182609676083746,0.186042653525316,0.188848773007306,0.191167833815679,0.193371867794902,0.195718569856419,0.198207831517955,0.20056999473556,0,0,0,0,0,0,0,0,0,0,-0.0031940399433043,0,0,0,0.0031940399433043,0,NaN,2.63576999999998
